1,83,1,5.09857239972808E-05,5.11893429914352E-05,41,-6.67064900716E-19,-2.49219577761E-18,2.15013069709E-18,-4.62477880077E-18,1.52853800312E-18,2.02069551686E-19,-1.3671629755E-18,3.37508376249E-18,-4.64056928051E-15,-6.53547027694E-15,-0.0001536194,9.06014058457139E-05,-4.88464954090245E-05,-0.0001171437,4.78915972634691E-05,-0.0002161379,0.0001370162,-0.0001435895,0.0001087046,-0.0001046797
2,3,242,5.53261117177925E-05,5.52617228745235E-05,118,-0.0103582166,0.0053453794,0.0105887498,-0.0016020762,0.0115814255,-0.0093449303,-0.0094539455,-0.0091367068,-0.0030653306,0.0064107884,-0.0102924967,0.0053396997,0.0106461513,-0.0014969589,0.011758013,-0.0093016814,-0.009411359,-0.0092762305,-0.0028662437,0.0063584167
3,18,14,8.0930560848123E-05,8.09177161379797E-05,7,-0.0433002523,0.0202411925,0.0325608993,-0.0025077562,0.0374566639,0.0625160154,-0.0503231676,-0.0176307995,-0.0169490077,0.0306672561,-0.0431670385,0.020279441,0.0326843287,-0.0024168357,0.0373739037,0.0624262943,-0.0502089618,-0.0174956074,-0.0171459956,0.0308057817
4,25,21,0.0002226483,0.0002226365,1,-0.0710666458,0.0294126972,0.0575153959,-0.0104533384,0.0551329716,0.0261556048,-0.0611572242,-0.0813054884,-0.0366606081,0.0577184181,-0.071125761,0.0295663072,0.0576393236,-0.0102357886,0.0553050272,0.0260841199,-0.061059388,-0.0814240941,-0.0367806545,0.0577821844
5,13,20,7.9167896679475E-05,7.92887641847443E-05,5,-0.0552404404,0.0209497694,0.0343286057,-0.005890699,0.0447126449,0.0513942096,-0.0633076916,-0.0439720778,-0.0256682036,0.0434813191,-0.0551493482,0.0210869946,0.0343047829,-0.006096343,0.0446927296,0.0514280047,-0.0632294733,-0.0439802662,-0.0254758509,0.0434509705
6,58,2,0.0001814462,0.0001815055,1,-0.0590764153,0.0140261225,0.0240923448,-0.0071356524,0.0130210478,-0.0066165694,0.0038283156,0.0382681786,0.0039000558,-0.0114106078,-0.0591434514,0.0142227891,0.0239338759,-0.0070162198,0.0128558369,-0.0064325624,0.0040431696,0.0382135025,0.0036786426,-0.0113448475
7,21,17,0.0001078195,0.0001077954,2,-0.0826172288,0.0360074547,0.0780339468,-0.0180425971,0.045149811,0.0335260477,-0.0439952353,0.0125990911,-0.0617347174,0.0330013871,-0.0824935932,0.0360267359,0.0780570467,-0.0180547415,0.0450586709,0.033735104,-0.044132723,0.0126421078,-0.0617702203,0.0330538153
8,65,3,0.0004582237,0.0004580201,1,-0.1445057788,0.0572389985,0.1325765281,-0.0423658568,0.0736858646,0.1313119916,-0.0638326405,0.269041003,0.2934724009,0.0254263888,-0.1445558124,0.0574269058,0.1325043084,-0.0424314769,0.073602092,0.1312851509,-0.0636634903,0.268812687,0.2934386082,0.025466702
9,58,2,0.0002813255,0.0002812788,1,-0.1322266153,0.0559659996,0.1199862473,-0.0290324372,0.0620158254,0.0326622147,-0.0276840828,0.2440882237,0.3419302657,0.0076751734,-0.132266264,0.0558117986,0.1198647655,-0.0290932632,0.0618919705,0.032778731,-0.0276400751,0.2441545563,0.3416327708,0.0077634377
10,44,5,0.0001371433,0.0001371166,2,-0.0766308317,0.0331692206,0.0603446892,-0.0084296575,0.0163957446,0.0724211068,-0.0177256387,0.0344965985,-0.0743521114,-0.0360680553,-0.0766560578,0.0332002983,0.0602320504,-0.008396035,0.0165152499,0.0724682109,-0.0176576829,0.0345604461,-0.0742650032,-0.0360732167
11,100,1,0.0003996214,0.0003997851,1,-0.3072387085,0.0511207619,0.0175539348,-0.0031542814,-0.109455131,0.1413164708,0.0853263589,0.1145362991,-0.2530593968,-0.0536033356,-0.3070850892,0.0509664771,0.017452059,-0.0033367125,-0.1093685557,0.1413270675,0.0852043582,0.1144710546,-0.252761902,-0.0534954768
12,48,9,0.0002571316,0.0002572518,1,-0.1629324547,0.0543312713,0.0579244069,0.0037345588,0.0322459233,0.2262051721,-0.0765270403,-0.0685277809,-0.0515361442,-0.0210575121,-0.1629901349,0.0541966915,0.0579634145,0.0035623635,0.0322507256,0.2259660789,-0.0766840019,-0.0686383968,-0.051655396,-0.0211799944
13,29,10,0.0001391858,0.0001391527,1,-0.1176416132,0.0487874621,0.0907688257,-0.0161092786,0.0548773968,0.1104163007,-0.0747277506,0.0059308242,-0.0659580279,0.0103533771,-0.117518806,0.0489475932,0.0906965896,-0.0162149879,0.0549390859,0.1102449447,-0.0745139166,0.0057926271,-0.0659351479,0.0102924755
